UUID (128-bit canonical form),Short form (16/32-bit if applicable, else blank),Name,Type (Service/Characteristic/Descriptor/Assigned Number/Member Service/Vendor Custom),Concise description (1–2 sentences),Typical usage/examples (short),Primary source(s) with direct links,Uncertainty flag/explanation (if resolution uncertain; else blank)
"0000183D-0000-1000-8000-00805F9B34FB","0x183D","Authorization Control","Service","Standard service for authorization control workflows.","Devices that require explicit authorization steps.","https://www.bluetooth.com/wp-content/uploads/Files/Specification/HTML/Assigned_Numbers/out/en/Assigned_Numbers.pdf?v=1711120414996",""
"0000183F-0000-1000-8000-00805F9B34FB","0x183F","Elapsed Time","Service","Standardized elapsed-time tracking service.","Timers/training sessions measure elapsed time.","https://www.bluetooth.com/wp-content/uploads/Files/Specification/HTML/Assigned_Numbers/out/en/Assigned_Numbers.pdf?v=1711120414996",""
"00001840-0000-1000-8000-00805F9B34FB","0x1840","Generic Health Sensor","Service","Generic framework for health sensor data.","Health sensors that do not fit a dedicated profile.","https://www.bluetooth.com/wp-content/uploads/Files/Specification/HTML/Assigned_Numbers/out/en/Assigned_Numbers.pdf?v=1711120414996",""
"0000185A-0000-1000-8000-00805F9B34FB","0x185A","Industrial Measurement Device","Service","Service framework for industrial measurement devices.","Industrial sensors expose measurement data and controls.","https://www.bluetooth.com/wp-content/uploads/Files/Specification/HTML/Assigned_Numbers/out/en/Assigned_Numbers.pdf?v=1711120414996",""
"0000185B-0000-1000-8000-00805F9B34FB","0x185B","Ranging","Service","Service for ranging-related features.","Ranging/location devices; may pair with CTE features.","https://www.bluetooth.com/wp-content/uploads/Files/Specification/HTML/Assigned_Numbers/out/en/Assigned_Numbers.pdf?v=1711120414996",""
"0000185C-0000-1000-8000-00805F9B34FB","0x185C","HID ISO","Service","HID service using isochronous transport features.","Advanced HID devices requiring ISO timing semantics.","https://www.bluetooth.com/wp-content/uploads/Files/Specification/HTML/Assigned_Numbers/out/en/Assigned_Numbers.pdf?v=1711120414996",""
"0000185D-0000-1000-8000-00805F9B34FB","0x185D","Cookware","Service","Service for smart cookware applications and sensors.","Smart pans/thermometers expose cooking sensor data and triggers.","https://www.bluetooth.com/wp-content/uploads/Files/Specification/HTML/Assigned_Numbers/out/en/Assigned_Numbers.pdf?v=1711120414996",""
"0000185E-0000-1000-8000-00805F9B34FB","0x185E","Voice Assistant","Service","Service to support voice-assistant use cases over BLE.","Voice-enabled accessories interact with assistant features.","https://www.bluetooth.com/wp-content/uploads/Files/Specification/HTML/Assigned_Numbers/out/en/Assigned_Numbers.pdf?v=1711120414996",""
"0000185F-0000-1000-8000-00805F9B34FB","0x185F","Generic Voice Assistant","Service","Generic variant of the voice-assistant service for interoperability.","General voice-assistant scenarios across vendors.","https://www.bluetooth.com/wp-content/uploads/Files/Specification/HTML/Assigned_Numbers/out/en/Assigned_Numbers.pdf?v=1711120414996",""
"00002912-0000-1000-8000-00805F9B34FB","0x2912","Measurement Description","Descriptor","Human- or machine-readable description of a measurement.","Industrial/measurement devices annotate sensor meaning.","https://www.bluetooth.com/wp-content/uploads/Files/Specification/HTML/Assigned_Numbers/out/en/Assigned_Numbers.pdf?v=1711120414996",""
